"","lon","lat","day","agent_id","distance"
"1",-100,26,1,"Agent_1",NA
"2",-100.325003402335,25.07500232634,2,"Agent_1",108.020870458914
"3",-99.875003387074,25.4250023055653,3,"Agent_1",59.7560596508712
"4",-100.525003409117,24.2250023767927,4,"Agent_1",148.852233120646
"5",-99.7750033836826,25.4750023025975,5,"Agent_1",158.434977656151
"6",-99.5250033752044,24.3750023678893,6,"Agent_1",125.025068351568
"7",-99.9250033887696,25.4250023055653,7,"Agent_1",123.666401454516
"8",-99.8250033853783,24.7750023441468,8,"Agent_1",73.0564936873937
"9",-99.4750033735087,25.1250023233721,9,"Agent_1",52.5920671024441
"10",-99.8250033853783,25.4750023025975,10,"Agent_1",52.5242418026991
"11",-100.575003410813,25.5250022996296,11,"Agent_1",75.5616754565486
"12",-100.625003412509,23.5250024183421,12,"Agent_1",222.696538403372
"13",-99.4250033718131,25.1250023233721,13,"Agent_1",215.728442919488
"14",-100.125003395552,24.825002341179,14,"Agent_1",78.1336174710711
"15",-100.7250034159,25.2750023144687,15,"Agent_1",78.5538605327268
"16",-100.575003410813,24.4250023649215,16,"Agent_1",95.8269924206339
"17",-99.5250033752044,25.0250023293078,17,"Agent_1",125.431225326412
"18",-100.425003405726,25.1250023233721,18,"Agent_1",91.4253056642704
"19",-99.725003381987,24.9250023352434,19,"Agent_1",74.0352079837698
"20",-99.6750033802913,25.3750023085331,20,"Agent_1",50.3464987603313
"21",-100.675003414204,24.7750023441468,21,"Agent_1",120.943069586773
"22",-99.7750033836826,24.9250023352434,22,"Agent_1",92.4318404716346
"23",-100.225003398944,24.6250023530502,23,"Agent_1",56.4268628405643
"24",NA,NA,24,"Agent_1",NA
"25",NA,NA,25,"Agent_1",NA
"26",NA,NA,26,"Agent_1",NA
"27",NA,NA,27,"Agent_1",NA
